user_id,recommended_items
67,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
68,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
69,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
70,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
71,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
72,"[87, 83, 86, 85, 84, 81, 82, 80, 79, 71]"
73,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
74,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
75,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
76,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
77,"[88, 87, 86, 85, 84, 83, 82, 81, 79, 71]"
78,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
79,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
80,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
81,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
82,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
83,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
84,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
85,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
86,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
